model,status,MAE,RMSE,sMAPE
sarimax,ok,3371.718325,3861.789571,115.989002
naive,ok,4301.052833,6608.342112,116.666667
moving_average,ok,4880.511167,5232.572542,122.028488
holt_winters,ok,3623.161065,4524.934963,131.008115
